Item,Project_element,Activity,Start,End
1,Chapter_2_Intro,First_draft,2020-08-24,2020-09-07
2,Chapter_2_Intro,Revisions,2020-09-07,2020-09-14
3,Chapter_3_Methods,First_draft,2020-08-24,2020-09-07
4,Chapter_3_Methods,Revisions,2020-09-07,2020-09-14
5,Chapter_4_Heritability,Analysis,2020-08-08,2020-08-28
6,Chapter_4_Heritability,First_draft,2020-09-04,2020-09-18
7,Chapter_4_Heritability,Revisions,2020-09-18,2020-09-25
8,Chapter_5_Selection,Analysis,2020-08-08,2020-10-02
9,Chapter_5_Selection,First_draft,2020-10-09,2020-10-23
10,Chapter_5_Selection,Revisions,2020-10-23,2020-10-30
11,Chapter_6_Evolut_Demog,Analysis,2020-08-14,2020-09-18
12,Chapter_6_Evolut_Demog,First_draft,2020-10-23,2020-11-06
13,Chapter_6_Evolut_Demog,Revisions,2020-11-06,2020-11-13
14,Defense,Almost_done,2020-11-09,2020-11-13
15,Submission,Done,2020-11-13,2020-12-01
